attribute_name,predicted,true,count
INPUT SIGNAL,FLOATING POINT,PROPORTIONAL,17
INPUT SIGNAL,PROPORTIONAL,PROGRAMMABLE,11
INPUT SIGNAL,PWM,PROPORTIONAL,82
INPUT SIGNAL,PWM,PROGRAMMABLE,43
INPUT SIGNAL,PROPORTIONAL,FLOATING POINT,3
INPUT SIGNAL,PROPORTIONAL,ON/OFF,4
INPUT SIGNAL,PROPORTIONAL,ON/OFF & FLOATING POINT,3
INPUT SIGNAL,ON/OFF - PULSE MODULATING,THERMOSTATIC,8
INPUT SIGNAL,ON/OFF - PULSE MODULATING,PROPORTIONAL,30
INPUT SIGNAL,PROPORTIONAL & ON/OFF,ON/OFF & FLOATING POINT,19
INPUT SIGNAL,0 - 10,PROGRAMMABLE,3
INPUT SIGNAL,ON/OFF - PULSE MODULATING,ON/OFF & FLOATING,3
INPUT SIGNAL,CURRENT,VOLTAGE,1
INPUT SIGNAL,FLOATING,PROPORTIONAL,2
INPUT SIGNAL,MODUALTING,PROGRAMMABLE,3
INPUT SIGNAL,MODUALTING,FLOATING POINT,1
INPUT SIGNAL,PROPORTIONAL & ON/OFF,PROPORTIONAL,308
INPUT SIGNAL,PWM,ON/OFF,4
INPUT SIGNAL,PWM,FLOATING POINT,17
INPUT SIGNAL,PROPORTIONAL & ON/OFF,PULSE | ANALOG | FLOATING,1
INPUT SIGNAL,,24 VAC / VDC,1
INPUT SIGNAL,MODUALTING,ON/OFF & FLOATING POINT,2
INPUT SIGNAL,,PROPORTIONAL,1
INPUT SIGNAL,MODUALTING,PROPORTIONAL,6
INPUT SIGNAL,ON/OFF - PULSE MODULATING,ON/OFF,3
INPUT SIGNAL,FLOATING,ON/OFF & FLOATING POINT,1
INPUT SIGNAL,PULSE WIDTH MODULATING,FLOATING POINT,6
INPUT SIGNAL,PULSE WIDTH MODULATING,PULSE WIDTH MODULATING,6
INPUT SIGNAL,PWM,PWM,1
INPUT SIGNAL,0 - 10,PROPORTIONAL/PROGRAMMABLE,1
INPUT SIGNAL,FLOATING POINT,ON/OFF & FLOATING POINT,1
INPUT SIGNAL,FLOATING POINT,ON/OFF,1
INPUT SIGNAL,MODUALTING,ON/OFF,1
INPUT SIGNAL,0 - 10,ON/OFF,1
INPUT SIGNAL,MODUALTING,0 - 10,1
INPUT SIGNAL,SYLK,SYLK,69
INPUT SIGNAL,ON/OFF & FLOATING POINT,PROPORTIONAL,387
INPUT SIGNAL,FLOATING,ON/OFF,1
INPUT SIGNAL,PROPORTIONAL & ON/OFF,FLOATING POINT,26
INPUT SIGNAL,PROPORTIONAL & ON/OFF,ON/OFF,18
INPUT SIGNAL,PROPORTIONAL & ON/OFF,PROGRAMMABLE,12
INPUT SIGNAL,,ANALOG/DIGITAL,1
INPUT SIGNAL,BACNET MS/TP,BACNET MS/TP,27
INPUT SIGNAL,BACNET MS/TP,MODBUS RTU,5
INPUT SIGNAL,BACNET MS/TP,MP-BUS,3
